,Unnamed: 0.1,Unnamed: 0,id,latitude,longitude,time,edge,speed,traj_future,angle,time1
267,267,13418,0,11728.646682369472,17196.24924225707,16140.0,324103242,1.424,324103242.0,-84.55455699763785,1-2
268,268,13468,0,11743.768397938651,17108.54329195582,16200.0,324103242,1.424,321503243.0,-80.21759296819378,1-2
269,269,13518,0,11769.843444454626,17023.768209848266,16260.0,321503243,1.424,324303553.0,-72.90319467447182,1-2
270,270,13567,0,11795.654355394205,16938.607406228846,16320.0,324303553,1.424,355303768.0,-73.13876250988814,1-2
271,271,13617,0,11814.687552435718,16852.610069773265,16380.0,355303768,1.424,376703768.0,-77.5202932929835,1-2
272,272,13667,0,11800.715948488674,16764.919762255424,16440.0,376703768,1.424,355903560.0,-99.05278394700152,1-2
273,273,13717,0,11737.50553186891,16712.82355182878,16500.0,355903560,1.424,55501082.0,-140.50563265964965,1-2
274,274,13767,0,11701.48546667765,16630.840514777898,16560.0,55501082,2.144,100401082.0,-113.71876449601807,1-2
275,275,13815,0,11740.143612442036,16502.540440185483,16620.0,100401082,2.144,100301004.0,-73.2318999637633,1-2
276,276,13865,0,11796.831245519608,16487.0,16680.0,100301004,0.944,100201003.0,-15.330518107749247,1-2
277,277,13914,0,11854.239902228088,16477.897084442327,16740.0,100201003,0.944,100101002.0,-9.010006094243865,1-2
278,278,13963,0,11908.769799830128,16455.615100084935,16800.0,100101002,0.944,100101002.0,-22.225886658228585,1-2
279,279,14013,0,11961.541004099125,16429.229497950437,16860.0,100101002,0.944,100101002.0,-26.56505117707799,1-2
280,280,14063,0,12014.312208368116,16402.843895815942,16920.0,100101002,0.944,97101036.0,-26.5650511770772,1-2
281,281,14113,0,12067.281350836223,16376.859324581888,16980.0,97101036,0.944,97101253.0,-26.130746737169293,1-2
282,282,14162,0,12120.09871612921,16350.566318610332,17040.0,97101253,0.944,97101253.0,-26.46457528563996,1-2
283,283,14212,0,12172.932297183022,16324.30584045341,17100.0,97101253,0.944,97101253.0,-26.429279441842866,1-2
284,284,14261,0,12225.765878236834,16298.045362296483,17160.0,97101253,0.944,125301254.0,-26.42927944184603,1-2
285,285,14311,0,12236.85498330434,16256.893177316751,17220.0,125301254,0.944,97101253.0,-74.91895823558136,1-2
286,286,14368,0,12227.626055425864,16297.120777184778,17340.0,97101253,0.944,97101253.0,102.92107940787629,1-2
287,287,14418,0,12174.792474372052,16323.381255341705,17400.0,97101253,0.944,97101253.0,153.57072055815397,1-2
288,288,14468,0,12121.95889331824,16349.641733498624,17460.0,97101253,0.944,97101036.0,153.5707205581603,1-2
289,289,14518,0,12069.139331848692,16375.930334075652,17520.0,97101036,0.944,100101002.0,153.5402049981054,1-2
290,290,14568,0,12016.170189380588,16401.914905309706,17580.0,100101002,0.944,100101002.0,153.86925326282915,1-2
291,291,14636,0,11963.398985111591,16428.300507444204,17640.0,100101002,0.944,100101002.0,153.434948822922,1-2
292,292,14686,0,11910.627780842598,16454.686109578703,17700.0,100101002,0.944,100201003.0,153.43494882292043,1-2
293,293,14736,0,11856.19398570672,16477.192333023806,17760.0,100201003,0.944,100301004.0,157.5368389606103,1-2
294,294,14786,0,11798.908531442004,16487.0,17820.0,100301004,0.944,100401082.0,170.28475826626965,1-2
295,295,14836,0,11741.550845112011,16498.03729564156,17880.0,100401082,2.144,55501082.0,169.10775762683687,1-2
296,296,14886,0,11702.830856937151,16626.318508627908,17940.0,55501082,2.144,356003561.0,106.79574554394458,1-2
297,297,14935,0,11684.542948065164,16723.77553886632,18000.0,356003561,1.424,356203563.0,100.62801270451591,2-3
298,298,14984,0,11654.126575184384,16805.873424815618,18060.0,356203563,1.424,356303564.0,110.32911932895088,2-3
299,299,15034,0,11590.579464657534,16868.181163234643,18120.0,356303564,1.424,355103564.0,135.56420945485425,2-3
300,300,15084,0,11511.172263635372,16884.655939049473,18180.0,355103564,1.424,355103564.0,168.27901363539675,2-3
301,301,15134,0,11422.741395959089,16874.60697681353,18240.0,355103564,1.424,355103564.0,-173.51692630710238,2-3
302,302,15184,0,11334.310528282804,16864.558014577593,18300.0,355103564,1.424,321403291.0,-173.51692630710482,2-3
303,303,15233,0,11281.483072216051,16914.225269730025,18360.0,321403291,1.424,321403291.0,136.76603092719844,2-3
304,304,15283,0,11238.64306966542,16992.236385485805,18420.0,321403291,1.424,321403291.0,118.7735015199691,2-3
305,305,15333,0,11195.80306711479,17070.24750124159,18480.0,321403291,1.424,321403291.0,118.773501519968,2-3
306,306,15383,0,11152.963064564156,17148.25861699737,18540.0,321403291,1.424,329103343.0,118.77350151997116,2-3
307,307,15433,0,11110.629892482875,17226.54151573961,18600.0,329103343,1.424,329103343.0,118.40326574951575,2-3
308,308,15483,0,11069.35454480214,17305.391662688326,18660.0,329103343,1.424,329103343.0,117.6305150890157,2-3
309,309,15533,0,11028.079197121404,17384.241809637042,18720.0,329103343,1.424,329103343.0,117.6305150890157,2-3
310,310,15583,0,10986.803849440668,17463.09195658576,18780.0,329103343,1.424,332203343.0,117.6305150890157,2-3
311,311,15633,0,10944.125758520837,17541.18798208601,18840.0,332203343,1.424,332203343.0,118.65582086857702,2-3
312,312,15683,0,10901.120619287743,17619.108184854882,18900.0,332203343,1.424,332203343.0,118.89485791585075,2-3
313,313,15733,0,10858.11548005465,17697.028387623755,18960.0,332203343,1.424,332203343.0,118.89485791585075,2-3
314,314,15782,0,10815.110340821557,17774.948590392625,19020.0,332203343,1.424,332203390.0,118.89485791585187,2-3
315,315,15831,0,10773.472910951692,17853.496008976213,19080.0,332203390,1.424,339003472.0,117.92774560353168,2-3
316,316,15881,0,10714.506921638822,17909.079584940067,19140.0,339003472,2.144,339003472.0,136.69133522516645,2-3
317,317,15931,0,10581.708589946797,17891.174191902937,19200.0,339003472,2.144,325303472.0,-172.32103619262998,2-3
318,318,15981,0,10448.337452413822,17878.276249443305,19260.0,325303472,2.144,325303472.0,-174.47626560517446,2-3
319,319,16031,0,10314.926115496775,17865.729728730104,19320.0,325303472,2.144,325303598.0,-174.62748362546202,2-3
320,320,16080,0,10181.563543616136,17852.683186223854,19380.0,325303598,2.144,359803731.0,-174.41266924340067,2-3
321,321,16130,0,10048.242927429374,17839.206843295437,19440.0,359803731,2.144,359803731.0,-174.22802114672587,2-3
322,322,16179,0,9914.937964398894,17825.576478977393,19500.0,359803731,2.144,359803731.0,-174.16182537809038,2-3
323,323,16229,0,9781.633001368416,17811.946114659346,19560.0,359803731,2.144,359803731.0,-174.16182537808876,2-3
324,324,16279,0,9648.328038337935,17798.315750341302,19620.0,359803731,2.144,319003731.0,-174.16182537809047,2-3
325,325,16329,0,9515.089977956375,17784.06742605216,19680.0,319003731,2.144,352403525.0,-173.89605305481123,2-3
326,326,16379,0,9386.781971088623,17746.653381563938,19740.0,352403525,2.144,321203525.0,-163.74355032296134,2-3
327,327,16429,0,9267.68999246474,17686.7657449137,19800.0,321203525,2.144,352603527.0,-153.3036051009565,2-3
328,328,16478,0,9168.168050138383,17622.533438632527,19860.0,352603527,2.144,352603527.0,-147.1614586070756,2-3
329,329,16528,0,9054.002060548091,17552.37556793458,19920.0,352603527,2.144,318603527.0,-148.42822944822257,2-3
330,330,16578,0,8943.51352014245,17476.593134680224,19980.0,318603527,2.144,318603529.0,-145.5543580082092,2-3
331,331,16628,0,8833.458574349757,17400.147672007854,20040.0,318603529,2.144,318603529.0,-145.21570055721816,2-3
332,332,16678,0,8723.433298185355,17323.659512107464,20100.0,318603529,2.144,734407397.0,-145.19346908709085,2-3
333,333,16727,0,8643.150602630216,17343.944275365026,20160.0,734407397,3.216,734407397.0,165.8200443700706,2-3
334,334,16775,0,8617.921074617227,17543.35458331384,20220.0,734407397,3.216,734407397.0,97.21078840984903,2-3
335,335,16825,0,8592.691546604237,17742.764891262657,20280.0,734407397,3.216,734407397.0,97.21078840984903,2-3
336,336,16875,0,8567.46201859125,17942.175199211473,20340.0,734407397,3.216,734407396.0,97.2107884098485,2-3
337,337,16925,0,8550.197165768286,18141.89635160421,20400.0,734407396,3.216,734407396.0,94.94063934213492,2-3
338,338,16975,0,8559.808499057353,18342.66642475359,20460.0,734407396,3.216,734407396.0,87.25920940581707,2-3
339,339,17024,0,8569.419832346419,18543.436497902967,20520.0,734407396,3.216,734407396.0,87.25920940581759,2-3
340,340,17074,0,8579.031165635484,18744.206571052346,20580.0,734407396,3.216,734407395.0,87.25920940581759,2-3
341,341,17124,0,8611.354851188597,18941.15435810171,20640.0,734407395,3.216,734407395.0,80.67953165614222,2-3
342,342,17174,0,8667.98740967042,19134.01117887765,20700.0,734407395,3.216,734407395.0,73.63508183011879,2-3
343,343,17224,0,8724.619968152245,19326.86799965359,20760.0,734407395,3.216,734407395.0,73.63508183011909,2-3
344,344,17274,0,8781.252526634067,19519.72482042953,20820.0,734407395,3.216,734407395.0,73.63508183011929,2-3
345,345,17323,0,8837.885085115891,19712.581641205463,20880.0,734407395,3.216,250802509.0,73.63508183011851,2-3
346,346,17373,0,8855.857971657753,19850.92499722594,20940.0,250802509,2.144,246902509.0,82.5978732806893,2-3
347,347,17423,0,8806.678188234107,19973.96311252089,21000.0,246902509,2.144,220802469.0,111.78717178566076,2-3
348,348,17473,0,8727.844730150968,20082.255973381423,21060.0,220802469,2.144,220802469.0,126.053323221827,2-3
349,349,17523,0,8648.159481656381,20189.98833236588,21120.0,220802469,2.144,220802469.0,126.48882804892627,2-3
350,350,17573,0,8568.474233161794,20297.720691350336,21180.0,220802469,2.144,220802512.0,126.48882804892627,2-3
351,351,17623,0,8493.046823211176,20407.67607937429,21240.0,220802512,2.144,251202712.0,124.44941868920186,2-3
352,352,17673,0,8458.541104673723,20536.851838547176,21300.0,251202712,2.144,251202712.0,104.95578406378226,2-3
353,353,17723,0,8432.87871651149,20668.371577878617,21360.0,251202712,2.144,251302514.0,101.04094018032386,2-3
354,354,17771,0,8412.606560078042,20800.29520351192,21420.0,251302514,2.144,251302514.0,98.73607035376594,2-3
355,355,17821,0,8415.583602874252,20934.26212934136,21480.0,251302514,2.144,251402515.0,88.72696997994308,2-3
356,356,17871,0,8421.38918090855,21068.00665913607,21540.0,251402515,2.144,251402515.0,87.51446707655666,2-3
357,357,17921,0,8439.385817894157,21200.79265635418,21600.0,251402515,2.144,251502516.0,82.28166720599165,3-4
